"seriesDescription","seriesCount","geoAreaCode","geoAreaName","timePeriodStart","value","Age","Location","Sex"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2000,"4.5375","25-44","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2000,"0.41667","45-54","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2000,"0.79167","15+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2000,"1.53333","10+","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2000,"0.12917","65+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2000,"0.1875","55-64","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2000,"0.13333","65+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2000,"0.74167","10+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2000,"1.69583","10+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2000,"1.84167","25-44","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2000,"4.81667","25-44","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2000,"0.41667","45-54","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2000,"0.77083","10+","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2000,"1.72917","10+","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2000,"0.6375","10+","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2000,"1.675","15+","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2000,"1.29167","15-24","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2000,"0.1875","15-24","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2000,"0.225","45-54","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2000,"0.69583","15+","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2000,"1.34583","15-24","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2000,"0.1125","55-64","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2000,"0.15","15-24","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2000,"1.80417","15+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2000,"0.19167","65+","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2000,"0.0875","55-64","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2000,"0.175","65+","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2000,"1.3375","15-24","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2000,"0.15417","15-24","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2010,"0.60833","15-24","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2010,"0.19583","55-64","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2010,"0.4875","55-64","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2010,"0.47917","65+","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2010,"0.82083","10+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2010,"0.61667","15-24","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2010,"0.17083","65+","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2010,"0.31667","45-54","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2010,"0.82083","10+","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2010,"4.21667","25-44","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2010,"1.50833","10+","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2010,"0.5375","15-24","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2010,"0.82083","10+","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2010,"0.225","15-24","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2010,"0.42083","45-54","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2010,"1.85833","10+","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2010,"2.69583","25-44","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2010,"1.64167","15+","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2010,"0.875","15+","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2010,"1.8","10+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2010,"0.875","15+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2010,"0.20417","55-64","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2010,"0.25417","65+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2010,"0.10833","55-64","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2010,"0.125","15-24","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2010,"0.07917","65+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2010,"1.90417","15+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2010,"0.1375","15-24","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2010,"0.7375","45-54","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2010,"0.75417","45-54","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2010,"5.6375","25-44","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2010,"2.275","25-44","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2010,"0.15","55-64","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2010,"0.09583","55-64","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2010,"0.8","45-54","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2010,"0.87083","45-54","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2010,"1.95","15+","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2010,"5.9375","25-44","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2010,"0.875","15+","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2010,"0.20833","65+","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2010,"0.05417","65+","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","246","Finland",2010,"2.2","25-44","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","250","France",2010,"0.71458","65+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","250","France",2010,"0.76917","65+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","250","France",2010,"0.91292","55-64","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","250","France",2010,"0.98917","45-54","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","250","France",2010,"1.69625","55-64","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","250","France",2010,"1.97833","45-54","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","250","France",2010,"1.12833","15-24","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","250","France",2010,"2.3625","25-44","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","250","France",2010,"0.31417","15-24","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","250","France",2010,"2.51958","15+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","250","France",2010,"1.21208","15+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","250","France",2010,"5.43","25-44","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","276","Germany",2002,"1.825","10+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","276","Germany",2002,"0.8125","10+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","276","Germany",2013,"1.625","10+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","276","Germany",2013,"0.75833","10+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","276","Germany",2013,"1.7","15+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","276","Germany",2013,"0.89167","45-54","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","276","Germany",2013,"0.79167","15+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","276","Germany",2013,"0.68333","45-54","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","276","Germany",2013,"4.9625","25-44","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","276","Germany",2013,"1.54583","10+","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","276","Germany",2013,"0.2625","55-64","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","276","Germany",2013,"4.9625","25-44","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","276","Germany",2013,"1.62083","15+","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","276","Germany",2013,"0.6125","10+","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","276","Germany",2013,"1.91667","25-44","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","276","Germany",2013,"1.64583","10+","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","276","Germany",2013,"0.79583","10+","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","276","Germany",2013,"1.72083","15+","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","276","Germany",2013,"4.97083","25-44","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","276","Germany",2013,"0.83333","15+","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","276","Germany",2013,"0.63333","15+","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","276","Germany",2013,"0.625","45-54","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","276","Germany",2013,"1.675","25-44","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","276","Germany",2013,"0.95417","45-54","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","276","Germany",2013,"1.975","25-44","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","276","Germany",2013,"0.7375","45-54","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","288","Ghana",2009,"3.68042","10+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","288","Ghana",2009,"0.76375","10+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","300","Greece",2014,"1.66667","10+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","300","Greece",2014,"1.18042","15+","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","300","Greece",2014,"3.88875","25-44","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","300","Greece",2014,"1.45833","45-54","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","300","Greece",2014,"1.31958","25-44","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","300","Greece",2014,"0.97208","55-64","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","300","Greece",2014,"1.18042","45-54","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","300","Greece",2014,"1.52792","15+","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","300","Greece",2014,"1.04167","15-24","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","300","Greece",2014,"1.45833","15-24","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","300","Greece",2014,"1.52792","10+","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","300","Greece",2014,"0.55542","65+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","300","Greece",2014,"0.48625","65+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","300","Greece",2014,"1.11125","10+","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","300","Greece",2014,"0.55542","15-24","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","300","Greece",2014,"1.59708","45-54","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","300","Greece",2014,"1.04167","10+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","300","Greece",2014,"1.73625","15+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","300","Greece",2014,"0.34708","15-24","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","300","Greece",2014,"3.95833","25-44","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","300","Greece",2014,"1.11125","15+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","300","Greece",2014,"1.80542","25-44","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","300","Greece",2014,"1.31958","45-54","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","300","Greece",2014,"0.83333","55-64","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","300","Greece",2014,"0.55542","55-64","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","300","Greece",2014,"1.25","45-54","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","300","Greece",2014,"3.95833","25-44","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","300","Greece",2014,"1.66667","45-54","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","300","Greece",2014,"1.875","25-44","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","300","Greece",2014,"0.41667","65+","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","300","Greece",2014,"0.34708","65+","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","300","Greece",2014,"1.66667","10+","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","300","Greece",2014,"1.04167","55-64","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","300","Greece",2014,"1.04167","10+","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","300","Greece",2014,"0.48625","65+","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","300","Greece",2014,"1.11125","65+","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","300","Greece",2014,"0.41667","55-64","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","300","Greece",2014,"0.76375","55-64","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","300","Greece",2014,"0.41667","15-24","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","300","Greece",2014,"1.11125","15+","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","300","Greece",2014,"1.80542","15+","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","300","Greece",2014,"0","15-24","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","320","Guatemala",2014,"4.26033","15+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","320","Guatemala",2014,"0.80815","15+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","340","Honduras",2009,"1.80434","15+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","340","Honduras",2009,"1.39926","15+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","348","Hungary",2000,"0.83333","15+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","348","Hungary",2000,"1.94458","15+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","348","Hungary",2010,"6.32417","25-44","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","348","Hungary",2010,"2.03125","25-44","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","348","Hungary",2010,"1.07458","45-54","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","348","Hungary",2010,"1.19083","45-54","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","348","Hungary",2010,"0.51667","45-54","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","348","Hungary",2010,"0.69625","65+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","348","Hungary",2010,"6.265","25-44","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","348","Hungary",2010,"0.695","55-64","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","348","Hungary",2010,"1.57208","15-24","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","348","Hungary",2010,"0.8075","55-64","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","348","Hungary",2010,"1.11917","55-64","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","348","Hungary",2010,"1.11042","15+","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","348","Hungary",2010,"2.89167","15+","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","348","Hungary",2010,"0.40042","15-24","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","348","Hungary",2010,"1.20208","10+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","348","Hungary",2010,"1.43292","55-64","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","348","Hungary",2010,"0.68625","45-54","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","348","Hungary",2010,"2.315","25-44","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","348","Hungary",2010,"0.505","65+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","348","Hungary",2010,"1.135","10+","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","348","Hungary",2010,"1.87792","15-24","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","348","Hungary",2010,"2.81","15+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","348","Hungary",2010,"0.23583","15-24","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","348","Hungary",2010,"0.64875","55-64","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","348","Hungary",2010,"0.74625","65+","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","348","Hungary",2010,"0.44167","65+","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","348","Hungary",2010,"2.78625","10+","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","348","Hungary",2010,"0.56208","65+","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","348","Hungary",2010,"1.235","15+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","348","Hungary",2010,"1.02625","45-54","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","348","Hungary",2010,"0.77333","45-54","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","348","Hungary",2010,"1.54833","55-64","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","348","Hungary",2010,"6.23917","25-44","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","348","Hungary",2010,"1.29125","15+","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","348","Hungary",2010,"1.2325","10+","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","348","Hungary",2010,"1.415","15-24","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","348","Hungary",2010,"2.44458","25-44","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","348","Hungary",2010,"2.69583","10+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","348","Hungary",2010,"0.68333","65+","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","348","Hungary",2010,"2.65792","10+","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","348","Hungary",2010,"0.4875","15-24","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","348","Hungary",2010,"2.77625","15+","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","364","Iran (Islamic Republic of)",2009,"2.29167","15+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","364","Iran (Islamic Republic of)",2009,"0.625","15+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","368","Iraq",2007,"3.125","10+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","368","Iraq",2007,"0.34708","10+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","372","Ireland",2005,"7.91667","15-64","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","372","Ireland",2005,"2.01375","15-64","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","380","Italy",2003,"0.4","65+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","380","Italy",2003,"1.2","45-54","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","380","Italy",2003,"1","45-54","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","380","Italy",2003,"0.8","15-24","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","380","Italy",2003,"1.8","25-44","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","380","Italy",2003,"0.3","15-24","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","380","Italy",2003,"0.6","55-64","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","380","Italy",2003,"0.6","55-64","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","380","Italy",2003,"5.1","25-44","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","380","Italy",2003,"1","15+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","380","Italy",2003,"2.2","15+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","380","Italy",2003,"0.4","65+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","380","Italy",2009,"0.3","65+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","380","Italy",2009,"0.5","65+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","380","Italy",2009,"1","15+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","380","Italy",2009,"2.2","15+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","380","Italy",2009,"0.5","55-64","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","380","Italy",2009,"0.6","55-64","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","380","Italy",2009,"0.2","15-24","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","380","Italy",2009,"0.7","15-24","ALLAREA","FEMALE"
